实体名,谷歌,百度,有道
"    ""Hkp 6A Jet Ranger [AB.206A-1] - 1969, 22x"",","Hkp 6A Jet Ranger [AB.206A-1] - 1969, 22x,","    ""Hkp 6A喷气式游骑兵AB.206A-1-1969，22x"",","喷气式游骑兵(Jet?Ranger) 206A-1]?-?1969,22x?,   "
"    ""Hkp 6B Jet Ranger [AB.206A-1] - 1971, 10x"",","Hkp 6B Jet Ranger [AB.206A-1] - 1971, 10x,","    ""Hkp 6B喷气式游骑兵AB.206A-1-1971，10x"",","Hkp?6B喷气式游骑兵[AB.206A-1]?-?1971,10x?,   "
"    ""Hkp 6B Jet Ranger [AB.206A-1] - 1984, 10x"",","Hkp 6B Jet Ranger [AB.206A-1] - 1984, 10x,","    ""Hkp 6B喷气式游骑兵AB.206A-1-1984，10x"",","Hkp?6B喷气式游骑兵[AB.206A-1]?-?1984,10x?,   "
"    ""Hkp 6B Jet Ranger [AB.206A-1] - 1990, 10x"",","Hkp 6B Jet Ranger [AB.206A-1] - 1990, 10x,","    ""Hkp 6B喷气式游骑兵AB.206A-1-1990，10x"",","Hkp?6B喷气式游骑兵[AB.206A-1]?-?1990,?10x,   "
"    ""Hkp 6B Jet Ranger [AB.206A-1] - 1997, 10x"",","Hkp 6B Jet Ranger [AB.206A-1] - 1997, 10x,","    ""Hkp 6B喷气式游骑兵AB.206A-1-1997，10x"",","Hkp?6B喷气式游骑兵[AB.206A-1]?-?1997,?10x,   "
"    ""Hkp 9A [Bo-105CB3] - 1988, 20x, TOW Anti-Tank"",","Hkp 9A [Bo-105CB3] - 1988, 20x, TOW 反坦克,","    ""Hkp 9A Bo-105CB3-1988，20x，牵引反坦克"",","Hkp?9A?[Bo-105CB3]?-?1988,?20x,?TOW反坦克车,   "
"    ""Hkp 9A [Bo-105CB3] - 2000, 20x, TOW deactivated"",","Hkp 9A [Bo-105CB3] - 2000, 20x, TOW 停用,","    ""Hkp 9A Bo-105CB3-2000，20x，拖车停用"",","?hkp9a?[Bo-105CB3]?-?2000,20x,?TOW停用,   "
"    ""Hkp 9B [Bo-105CBS] - 1986, 4x"",","Hkp 9B [Bo-105CBS] - 1986, 4x,","    ""Hkp 9B Bo-105CBS-1986，4x"",","Hkp?9B?[Bo-105CBS]?-?1986,?4x,   "
"    ""Hood Wink [Kolonka]"",","胡德眨眼 [科隆卡],","    ""胡德·温克·科隆卡"",","罩Wink?(Kolonka),   "
"    ""Hornet F. Mk.3 - 1946"",","大黄蜂 F. Mk.3 - 1946,","    ""大黄蜂战机3-1946"",","大黄蜂F.?Mk.3?-?1946,   "
"    ""Hornet FR. Mk.4 - 1946"",","大黄蜂 FR. Mk.4 - 1946,","    ""大黄蜂战友Mk.4-1946"",","大黄蜂FR.?Mk.4?-?1946,   "
"    ""Hornet PR. Mk.2 - 1946"",","大黄蜂 PR. Mk.2 - 1946,","    ""大黄蜂公关公司Mk.2-1946"",","大黄蜂PR.?Mk.2?-?1946,   "
"    ""Horse Jaw [MG-342 Orion] (Moskva, Kiev, Assoc w Mare Tail (Vega))"",","马颚 [MG-342 猎户座]（莫斯科，基辅，Assoc w Mare Tail (Vega)）,","    ""马颚MG-342猎户座（莫斯科、基辅、马尾巴协会（织女星））"",","马颚[MG-342猎户座](莫斯科，基辅，马尾(织女星)),   "
"    ""Horse Jaw [Polinom] (1987, Assoc w Horse Tail)"",","马颚 [Polinom] (1987, Assoc w Horse Tail),","    ""马颚Polinom（1987年，马尾协会）"",","马颚[Polinom]?(1987,?Assoc?w?Horse?Tail),   "
"    ""Horse Tail [Polinom]"",","马尾 [Polinom],","    ""马尾脊髓灰质炎"",","马尾巴(Polinom),   "
"    ""Hot Brick [L-166 Espanka]"",","热砖 [L-166 Espanka],","    ""热砖L-166埃斯潘卡"",","热砖[L-166西班牙语],   "
"    ""Hot Dog Flare (76mm)"",","热狗火炬 (76 毫米),","    ""热狗火炬（76毫米）"",","热狗耀斑(76毫米),   "
"    ""Hot Shot [1L36-01 Roman] Tracking (Pantsir S1, Early Model)"",","Hot Shot [1L36-01 Roman] 跟踪（Pantsir S1，早期型号）,","    ""热射1L36-01罗马跟踪（Pantsir S1，早期型号）"",","Hot?Shot?[1L361?Roman]?Tracking?(Pantsir?S1，早期模型),   "
"    ""Hot Shot [1RL-144 Tunguska-M1]"",","热射 [1RL-144 通古斯-M1],","    ""热射1RL-144通古斯卡M1"",","Hot?Shot?[1RL-144通古斯卡-?m1],   "
"    ""Hot Shot [1RL-144 Tunguska-M]"",","热射 [1RL-144 通古斯-M],","    ""热射1RL-144通古斯卡-M"",","Hot?Shot?[1RL-144通古斯卡-?m],   "
"    ""Hot Shot [1RL-144 Tunguska]"",","热射 [1RL-144 通古斯],","    ""热射1RL-144通古斯卡"",","Hot?Shot?[1RL-144通古斯卡],   "
"    ""Hot Shot [1RL-144M Pantsir S1]"",","热射 [1RL-144M Pantsir S1],","    ""热射1RL-144M Pantsir S1"",","Hot?Shot?[1RL-144M?Pantsir?S1],   "
"    ""Hot Shot [1RS1-E1] Acquisition (Pantsir S1, 2RL80)"",","热射 [1RS1-E1] 收购（Pantsir S1，2RL80）,","    ""热激发1RS1-E1采集（Pantsir S1、2RL80）"",","Hot?Shot?[1RS1-E1]?Acquisition?(Pantsir?S1,?2RL80),   "
"    ""Hot Shot [1RS2 Shlem] Tracking (Pantsir S1, Late Model)"",","Hot Shot [1RS2 Shlem] 跟踪（Pantsir S1，后期型号）,","    ""热射1RS2 Shlem跟踪（Pantsir S1，新款）"",","Hot?Shot?[1RS2?Shlem]?Tracking?(Pantsir?S1，后期型号),   "
"    ""Hot Shot [1RS2 Shlem] Tracking (Pantsir SM, Late Model)"",","Hot Shot [1RS2 Shlem] 跟踪（Pantsir SM，后期模型）,","    ""热射1RS2 Shlem跟踪（Pantsir SM，新款）"",","Hot?Shot?[1RS2?Shlem]?Tracking?(Pantsir?SM，后期型号),   "
"    ""Hot Shot [1RS2-1E Shlem] Tracking (Pantsir S1, Late Model)"",","Hot Shot [1RS2-1E Shlem] 跟踪（Pantsir S1，后期型号）,","    ""热射1RS2-1E Shlem跟踪（Pantsir S1，新款）"",","Hot?Shot?[1RS2-1E?Shlem]?Tracking?(Pantsir?S1，后期型号),   "
"    ""Hot Shot [RLM SOC] Acquisition"",","热门 [RLM SOC] 收购,","    ""热激发RLM SOC采集"",","Hot?Shot?[RLM?SOC]收购,   "
"    ""Hsiung Feng I [Gabriel II] "",","雄风一世 [加布里埃尔二世],","    ""雄风一世加布里埃尔二世"",","雄风一世,   "
"    ""Hsiung Feng II "",","雄风二号,","    ""雄风II"",","雄风II,   "
"    ""Hsiung Feng IIE "",","雄风IIE,","    ""雄风IIE"",","雄风IIE,   "
"    ""Hsiung Feng III "",","雄风三世,","    ""雄风三号"",","雄风III,   "
"    ""Hughes Glomar Explorer - 0"",","休斯格洛玛探险家 - 0,","    ""休斯格洛马探险家-0"",","Hughes?Glomar?Explorer?-?0,   "
"    ""Humsa-NG (India, BEL)"",","Humsa-NG（印度，BEL）,","    ""Humsa NG（印度，贝尔）"",","Humsa-NG(印度,贝尔),   "
"    ""Hunter F. Mk.73 - 1964"",","猎人 F. Mk.73 - 1964,","    ""亨特F.Mk.73-1964"",","猎人F.?Mk.73?-?1964,   "
"    ""Hunter F.1 - 1953"",","猎人 F.1 - 1953,","    ""亨特F.1-1953"",","猎人F.1?-?1953,   "
"    ""Hunter F.2 - 1953"",","猎人 F.2 - 1953,","    ""亨特F.2-1953"",","猎人F.2?-?1953,   "
"    ""Hunter F.4 - 1954"",","猎人 F.4 - 1954,","    ""亨特F.4-1954"",","猎人F.4?-?1954,   "
"    ""Hunter F.4 - 1956"",","猎人 F.4 - 1956,","    ""亨特F.4-1956"",","Hunter?F.4?-?1956,   "
"    ""Hunter F.5 - 1954"",","猎人 F.5 - 1954,","    ""亨特F.5-1954"",","猎人F.5?-?1954,   "
"    ""Hunter F.5 - 1956"",","猎人 F.5 - 1956,","    ""亨特F.5-1956"",","Hunter?F.5?-?1956,   "
"    ""Hunter F.51 - 1954"",","猎人 F.51 - 1954,","    ""亨特F.51-1954"",","猎人F.51?-?1954,   "
"    ""Hunter F.56 - 1959"",","猎人 F.56 - 1959,","    ""亨特F.56-1959"",","Hunter?F.56?-?1959,   "
"    ""Hunter F.58 - 1960"",","猎人 F.58 - 1960,","    ""亨特F.58-1960"",","猎人F.58?-?1960,   "
"    ""Hunter F.6 - 1955"",","猎人 F.6 - 1955,","    ""亨特F.6-1955"",","亨特F.6?-?1955,   "
"    ""Hunter F.6 - 1957"",","猎人 F.6 - 1957,","    ""亨特F.6-1957"",","Hunter?F.6?-?1957,   "
"    ""Hunter F.6 - 1958"",","猎人 F.6 - 1958,","    ""亨特F.6-1958"",","猎人F.6?-?1958,   "
"    ""Hunter F.6 - 1975"",","猎人 F.6 - 1975,","    ""亨特F.6-1975"",","猎人F.6?-?1975,   "
"    ""Hunter F.74 - 1970"",","猎人 F.74 - 1970,","    ""亨特F.74-1970"",","猎人F.74?-?1970,   "
"    ""Hunter F.Mk.59 - 1963"",","猎人 F.Mk.59 - 1963,","    ""亨特F.Mk。59 - 1963"",","”亨特F.Mk.59?-?1963,   "
"    ""Hunter F.Mk.59A - 1963"",","猎人 F.Mk.59A - 1963,","    ""亨特F.Mk。59A-1963年"",","”亨特F.Mk.59?-?1963,   "
"    ""Hunter F.Mk.59B - 1963"",","猎人 F.Mk.59B - 1963,","    ""亨特F.Mk。59B-1963"",","”亨特F.Mk.59?-?1963?b,   "
"    ""Hunter F.Mk.70 - 1964"",","猎人 F.Mk.70 - 1964,","    ""亨特F.Mk。70 - 1964"",","”亨特F.Mk.70?-?1964,   "
"    ""Hunter F.Mk.73 - 1975"",","猎人 F.Mk.73 - 1975,","    ""亨特F.Mk。73 - 1975"",","”亨特F.Mk.73?-?1975,   "
"    ""Hunter FA.76A [Export FR.10] - 1971"",","猎人 FA.76A [出口 FR.10] - 1971,","    ""亨特·法。76A出口FR.10-1971"",","猎人FA.76A[出口FR.10]?-?1971,   "
"    ""Hunter FGA Mk.9 [Export FGA.9] - 1962, 17x"",","猎人 FGA Mk.9 [出口 FGA.9] - 1962，17x,","    ""亨特FGA Mk.9出口FGA。1962年9月至17日"",","猎人FGA?Mk.9[出口FGA.9]?-?1962年，17x,   "
"    ""Hunter FGA Mk.9 [Export FGA.9] - 1964"",","猎人 FGA Mk.9 [出口 FGA.9] - 1964,","    ""亨特FGA Mk.9出口FGA。9 - 1964"",","猎人FGA?Mk.9[出口FGA.9]?-?1964,   "
"    ""Hunter FGA.71 [Export FGA.9] - 1972"",","猎人 FGA.71 [出口 FGA.9] - 1972,","    ""亨特·福加。71出口FGA。9 - 1972"",","猎人FGA.71[出口FGA.9]?-?1972,   "
"    ""Hunter FGA.74S [Export FGA.9] - 1979, 12x + 22x"",","Hunter FGA.74S [出口 FGA.9] - 1979, 12x + 22x,","    ""亨特·福加。74S出口FGA。1979年9月12日+22日"",","Hunter?FGA.74S?[Export?FGA.9]?-?1979,12x?+?22x,   "
"    ""Hunter FGA.9 - 1959"",","猎人 FGA.9 - 1959,","    ""亨特·福加。9 - 1959"",","猎人FGA.9?-?1959,   "
"    ""Hunter FGA.9 - 1962, 12x"",","猎人 FGA.9 - 1962，12x,","    ""亨特·福加。1962年9月至12日"",","猎人FGA.9?-?1962,?12x,   "
"    ""Hunter FR.10 - 1959"",","猎人 FR.10 - 1959,","    ""亨特FR.10-1959"",","Hunter?fr10?-?1959,   "
"    ""Hunter FR.10 - 1961"",","猎人 FR.10 - 1961,","    ""亨特FR.10-1961"",","Hunter?fr10?-?1961,   "
"    ""Hunter FR.10 - 1975"",","猎人 FR.10 - 1975,","    ""亨特FR.10-1975"",","猎人FR.10?-?1975,   "
"    ""Hunter FR.6 - 1956"",","猎人 FR.6 - 1956,","    ""亨特FR.6-1956"",","Hunter?fr6?-?1956,   "
"    ""Hunter FR.71A - 1968"",","猎人 FR.71A - 1968,","    ""亨特FR.71A-1968"",","猎人FR.71A?-?1968,   "
"    ""Hunter FR.74A - 1971"",","猎人 FR.74A - 1971,","    ""亨特FR.74A-1971"",","猎人FR.74A?-?1971,   "
"    ""Hunter Kk.76 [Export FGA.9] - 1971"",","猎人 Kk.76 [出口 FGA.9] - 1971,","    ""猎人Kk。76出口FGA。9 - 1971"",","猎人k76[出口FGA.9]?-?1971,   "
"    ""Hunter Mk.57 [Export FGA.9] - 1965"",","猎人 Mk.57 [出口 FGA.9] - 1965,","    ""亨特Mk.57出口FGA。9 - 1965"",","Hunter?Mk.57[出口FGA.9]?-?1965,   "
"    ""Hunter Mk.60 - 1966"",","猎人 Mk.60 - 1966,","    ""亨特Mk.60-1966"",","Hunter?Mk.60?-?1966,   "
"    ""Hunter Mk52 [F.4] - 1957"",","猎人 Mk52 [F.4] - 1957,","    ""亨特Mk52 F.4-1957"",","猎人Mk52?(F.4?-?1957,   "
"    ""Hunter Mk58A - 1973, 30x + 22x"",","猎人 Mk58A - 1973，30x + 22x,","    ""亨特Mk58A-1973，30x+22x"",","Hunter?Mk58A?-?1973?30x?+?22x,   "
"    ""Hunter Mk58A - 1986"",","猎人 Mk58A - 1986,","    ""亨特Mk58A-1986"",","Hunter?Mk58A?-?1986,   "
"    ""Hunter T.53 - 1955"",","猎人 T.53 - 1955,","    ""亨特T.53-1955"",","亨特T.53?-?1955,   "
"    ""Hunter T.66 - 1955"",","猎人 T.66 - 1955,","    ""亨特T.66-1955"",","亨特T.66?-?1955,   "
"    ""Hunter T.66 - 1960"",","猎人 T.66 - 1960,","    ""亨特T.66-1960"",","猎人T.66?-?1960,   "
"    ""Hunter T.66 - 1975"",","猎人 T.66 - 1975,","    ""亨特T.66-1975"",","猎人T.66?-?1975,   "
"    ""Hunter T.7 - 1955"",","猎人 T.7 - 1955,","    ""亨特T.7-1955"",","Hunter?T.7?-?1955,   "
"    ""Hunter T.77 [Export T-7] - 1971"",","猎人 T.77 [出口 T-7] - 1971,","    ""亨特T.77出口T-7-1971"",","猎人T.77[出口T-7]?-?1971,   "
"    ""Hunter T.8 - 1958"",","猎人 T.8 - 1958,","    ""亨特T.8-1958"",","猎人T.8?-?1958,   "
"    ""Hwasong-6 [SS-1d Scud C] "",","Hwasong-6 [SS-1d 飞毛腿 C],","    ""华松-6 SS-1d飞毛腿C"",","火星-6型(SS-1d?Scud?C型),   "
"    ""Hwasong-7 [SS-1e Scud D] "",","Hwasong-7 [SS-1e 飞毛腿 D],","    ""华松-7 SS-1e飞毛腿"",","火星-7型(SS-1e?Scud),   "
"    ""Hydra MEOSS Turret [IR/LLTV] (Group, Vistar IM405)"",","Hydra MEOSS Turret [IR/LLTV] (Group, Vistar IM405),","    ""Hydra MEOSS炮塔IR/LLTV（集团，Vistar IM405）"",","Hydra?MEOSS炮塔[IR/LLTV](组，Vistar?IM405),   "
"    ""Hydra MEOSS [IR]"",","Hydra MEOSS [IR],","    ""Hydra MEOSS IR"",","九头蛇MEOSS?(IR),   "
"    ""Hydra MEOSS [LLTV]"",","Hydra MEOSS [LLTV],","    ""Hydra MEOSS LLTV"",","九头蛇MEOSS?[LLTV],   "
"    ""Hydra TASS (Visby)"",","九头蛇塔斯（维斯比）,","    ""海德拉塔斯（维斯比）"",","九头蛇塔斯(维斯比),   "
"    ""Hydrofonboj 112 [Modified SSQ-906G] LOFAR"",","Hydrofonboj 112 [修改 SSQ-906G] LOFAR,","    ""Hydrofonboj 112改进型SSQ-906G LOFAR"",","Hydrofonboj?112[改进型SSQ-906G]?LOFAR,   "
"    ""Hydrofonboj 112 [Modified SSQ-906G] LOFAR (G-Size, 99 Chn, 20/40/60/300m, 1-17hrs)"",","Hydrofonboj 112 [修改 SSQ-906G] LOFAR（G 尺寸，99 Chn，20/40/60/300m，1-17 小时）,","    ""Hydrofonboj 112改进型SSQ-906G LOFAR（G尺寸，99中国，20/40/60/300米，1-17小时）"",","Hydrofonboj?112?[Modified?SSQ-906G]?LOFAR?(G-Size,?99中国，20/40/60/300米，1-17小时),   "
"    ""Hydrofonboj 113 [Moored SSQ-954] DIFAR-LOFAR"",","Hydrofonboj 113 [系泊 SSQ-954] DIFAR-LOFAR,","    ""Hydrofonboj 113系泊SSQ-954 DIFAR-LOFAR"",","Hydrofonboj?113[系泊SSQ-954]?DIFAR-LOFAR,   "
"    ""Hydrofonboj 113 [Moored SSQ-954] DIFAR-LOFAR (G-Size, 20/40m, 200m mooring line, 1/6hr)"",","Hydrofonboj 113 [系泊 SSQ-954] DIFAR-LOFAR（G 尺寸，20/40m，200m 系泊绳，1/6 小时）,","    ""Hydrofonboj 113系泊SSQ-954 DIFAR-LOFAR（G型，20/40m，200m系泊缆，1/6hr）"",","Hydrofonboj?113[系泊SSQ-954]?DIFAR-LOFAR?(G-Size,?20/40米，200米系泊线，1/6小时),   "
"    ""Hydrofonboj 114 LOFAR"",","Hydrofonboj 114 LOFAR,","    ""Hydrofonboj 114 LOFAR"",","114年Hydrofonboj?LOFAR的,   "
"    ""Hydrofonboj 114 LOFAR (Sweden, 1995, G-Size, 99 Chn, 15/30/60, 1-8hrs)"",","Hydrofonboj 114 LOFAR（瑞典，1995，G-Size，99 Chn，15/30/60，1-8 小时）,","    ""Hydrofonboj 114 LOFAR（瑞典，1995年，G型，99中国，15/30/60，1-8小时）"",","Hydrofonboj?114?LOFAR(瑞典，1995,G-Size,?99中国，15/30/60,1-8小时),   "
"    ""Hydrofonboj 221 LOFAR"",","Hydrofonboj 221 LOFAR,","    ""Hydrofonboj 221 LOFAR"",","221年Hydrofonboj?LOFAR的,   "
"    ""Hydrofonboj 221 LOFAR (Sweden, 1985, Flawed)"",","Hydrofonboj 221 LOFAR（瑞典，1985 年，有缺陷）,","    ""Hydrofonboj 221 LOFAR（瑞典，1985年，有缺陷）"",","Hydrofonboj?221?LOFAR(瑞典，1985，有缺陷),   "
"    ""Hydrofonboj 222 LOFAR"",","Hydrofonboj 222 LOFAR,","    ""Hydrofonboj 222 LOFAR"",","222年Hydrofonboj?LOFAR的,   "
"    ""Hydrofonboj 222 LOFAR (Sweden, 1986)"",","Hydrofonboj 222 LOFAR（瑞典，1986）,","    ""Hydrofonboj 222 LOFAR（瑞典，1986年）"",","Hydrofonboj?222?LOFAR(瑞典，1986年),   "
"    ""Hydrofonboj 223 LOFAR"",","Hydrofonboj 223 LOFAR,","    ""Hydrofonboj 223 LOFAR"",","223年Hydrofonboj?LOFAR的,   "
"    ""Hydrofonboj 223 LOFAR (Sweden, 1989, 1-90m)"",","Hydrofonboj 223 LOFAR (瑞典, 1989, 1-90m),","    ""Hydrofonboj 223 LOFAR（瑞典，1989年，1-90米）"",","Hydrofonboj?223?LOFAR(瑞典，1989,1-90m),   "
"    ""Hydrofonboj 225 LOFAR"",","Hydrofonboj 225 LOFAR,","    ""Hydrofonboj 225 LOFAR"",","225年Hydrofonboj?LOFAR的,   "
"    ""Hydrofonboj 225 LOFAR (Sweden)"",","Hydrofonboj 225 LOFAR（瑞典）,","    ""Hydrofonboj 225 LOFAR（瑞典）"",","Hydrofonboj?225?LOFAR(瑞典),   "
"    ""Hyunmoo 1 [NHK-2] (1987)"",","贤茂 1 [NHK-2] (1987),","    ""Hyumoo 1 NHK-2（1987年）"",","玄武1?[NHK-2](1987),   "
"    ""Hyunmoo 2A [NHK-2 PIP-A] (2006)"",","贤茂 2A [NHK-2 PIP-A] (2006),","    ""Hyunmoo 2A NHK-2 PIP-A（2006年）"",","玄武2A?[NHK-2?ppi?-?a](2006),   "
"    ""Hyunmoo 2B [NHK-2 PIP-B] (2010)"",","贤茂 2B [NHK-2 PIP-B] (2010),","    ""Hyunmoo 2B NHK-2 PIP-B（2010年）"",","玄武2B?[NHK-2?PIP-B](2010),   "
"    ""Hyunmoo 2C RV [500kg HE Conventiona] (2019, ASBM capable)"",","Hyunmoo 2C RV [500kg HE Con??ventiona]（2019，ASBM）,","    ""Hyunmoo 2C RV 500kg HE公约A（2019年，具备ASBM能力）"",","Hyunmoo?2C房车[500kg?HE?convention](2019，可装载反舰弹道导弹),   "
"    ""Hyunmoo 2C [500kg HE Conventional] (2019, ASBM capable)"",","Hyunmoo 2C [500kg HE 常规]（2019，ASBM 能力）,","    ""Hyunmoo 2C 500kg HE常规（2019年，具备ASBM能力）"",","玄武2C(500公斤HE常规)(2019年，可装载反舰弹道导弹),   "
"    ""Hyunmoo 3A (South Korea, Not deployed?)"",","Hyumoo 3A (韩国，未部署？),","    ""Hyumoo 3A（韩国，未部署？）"",","玄武3A(韩国，没有部署?),   "
"    ""Hyunmoo 3B (South Korea, 2008)"",","贤茂 3B (韩国, 2008),","    ""Hyumoo 3B（韩国，2008年）"",","玄武3B(韩国，2008),   "
"    ""Hyunmoo 3C (South Korea, 2015, Xuanwu 3)"",","炫牧3C（韩国，2015，玄武3）,","    ""玄武3C（韩国，2015，宣武3）"",","玄武3C(韩国，2015，玄武3),   "
"    ""Hyunmoo 4 (South Korea, 2020)"",","炫慕 4 (韩国, 2020),","    ""Hyunmoo 4号（韩国，2020年）"",","玄武4(韩国，2020年),   "
"    ""I-251 Shkval [Bomb Sight] (Su-25T)"",","I-251 Shkval [炸弹瞄准器] (Su-25T),","    ""I-251 Shkval炸弹瞄准器（Su-25T）"",","I-251?Shkval[炸弹瞄准器](苏-?25t),   "
"    ""I-251 Shkval [Laser Designator] (Su-25T, Ka-50)"",","I-251 Shkval [激光指示器]（Su-25T，Ka-50）,","    ""I-251 Shkval激光指示器（Su-25T，Ka-50）"",","I-251?Shkval[激光指示器](Su-25T,?Ka-50),   "
"    ""I-251 Shkval-N [LLTV] (Nighttime EO Search & Track)"",","I-251 Shkval-N [LLTV]（夜间 EO 搜索和跟踪）,","    ""I-251 Shkval-N LLTV（夜间EO搜索和跟踪）"",","I-251?Shkval-N?[LLTV](夜间EO搜索和跟踪),   "
"    ""I-251 Shkval-V [TV Camera] (Daylight EO Search & Track)"",","I-251 Shkval-V [电视摄像机]（日光 EO 搜索和跟踪）,","    ""I-251 Shkval-V电视摄像机（日光EO搜索和跟踪）"",","I-251?Shkval-V[电视摄像机](日光EO搜索和跟踪),   "
"    ""I-Derby ER "",","我-德比ER,","    ""伊德比"",","I-Derby呃,   "
"    ""I-HAWK Electro-Optical Sensor [HEOS]"",","I-HAWK 光电传感器 [HEOS],","    ""I-HAWK光电传感器HEOS"",","I-HAWK光电传感器,   "
"    ""I-HAWK OD-179/TVY TAS"",","I-HAWK OD-179/TVY TAS,","    ""I-HAWK OD-179/TVY TAS"",","I-HAWK?od?-?179?/?TVY助教,   "
"    ""I-HAWK Super Eye (Israel)"",","I-HAWK 超级眼睛（以色列）,","    ""I-HAWK超级眼（以色列）"",","I-HAWK?Super?Eye(以色列),   "
"    ""I-Master (GMTI/SAR Imaging radar)"",","I-Master (GMTI/SAR 成像雷达),","    ""I-Master（GMTI/SAR成像雷达）"",","I-Master?(GMTI/SAR成像雷达),   "
"    ""IA-58A Pucara - 1978"",","IA-58A Pucara - 1978,","    ""IA-58A普卡拉-1978"",","IA-58A?Pucara?-?1978,   "
"    ""IA-58A Pucara - 1989, 6x"",","IA-58A Pucara - 1989, 6x,","    ""IA-58A Pucara-1989，6x"",","IA-58A?Pucara?-?1989,?6x,   "
"    ""IA-58A Pucara - 1990"",","IA-58A Pucara - 1990,","    ""IA-58A Pucara-1990"",","IA-58A?Pucara?-?1990,   "
"    ""IA-63 Pampa - 1989, 15x"",","IA-63 大草原 - 1989，15x,","    ""IA-63潘帕-1989，15x"",","IA-63?Pampa?-?1989,?15x,   "
"    ""IAI 1124 Westwind I - 1977"",","IAI 1124 Westwind I - 1977,","    ""IAI 1124西风一号-1977"",","IAI?1124西风I?-?1977,   "
"    ""IAI 1124A Westwind II - 1981"",","IAI 1124A 西风 II - 1981,","    ""IAI 1124A西风II-1981"",","IAI?1124A西风II?-?1981,   "
"    ""IAI 1124N Sea Scan [Shahaf] - 1980"",","IAI 1124N 海上扫描 [Shahaf] - 1980,","    ""IAI 1124N海上扫描沙哈夫-1980"",","IAI?1124N海扫描[沙哈夫]-?1980,   "
"    ""IAI 201 Arava - 1981"",","IAI 201 Arava - 1981,","    ""IAI 201阿拉瓦-1981"",","IAI?201阿拉瓦-?1981,   "
"    ""IAI 201 Arava - 1984"",","IAI 201 Arava - 1984,","    ""IAI 201阿拉瓦-1984"",","IAI?201阿拉瓦-?1984,   "
"    ""IAI 201 Arava - 1985, 3x, OOS Unkn"",","IAI 201 Arava - 1985, 3x, OOS Unkn,","    ""IAI 201阿拉瓦-1985年，3倍，不确定"",","IAI?201?Arava?-?1985,?3x,?OOS?Unkn,   "
"    ""IAI 201 Arava ELINT - 0, 3x"",","IAI 201 Arava ELINT - 0, 3x,","    ""IAI 201阿拉瓦埃利特-0，3倍"",","IAI?201?Arava?ELINT?-?0,3?,   "
"    ""IAI 202B Arava - 0, 8x"",","IAI 202B Arava - 0, 8x,","    ""IAI 202B阿拉瓦-0，8x"",","IAI?202B?Arava?-?0,8x,   "
"    ""IAR-330L Puma [Naval Mod] - 2009, 3x"",","IAR-330L Puma [海军改装] - 2009，3x,","    ""IAR-330L美洲豹海军Mod-2009，3倍"",","IAR-330L美洲狮[海军Mod]?-?2009,?3x,   "
"    ""IBAS [IR]"",","IBAS [IR],","    ""IBAS IR"",","迁徙水鸟(IR),   "
"    ""IBAS [Laser Rangefinder]"",","IBAS [激光测距仪],","    ""激光测距仪"",","迁徙水鸟(激光测距仪),   "
"    ""IBAS [TV Camera]"",","IBAS [电视摄像机],","    ""电视摄像机"",","迁徙水鸟(摄像机),   "
"    ""ICGV Aegir - 1969"",","ICGV Aegir - 1969,","    ""ICGV Aegir-1969"",","ICGV?Aegir?-?1969,   "
"    ""ICGV Aegir - 1992"",","ICGV Aegir - 1992,","    ""ICGV Aegir-1992"",","ICGV?Aegir?-?1992,   "
"    ""ICGV Aegir - 2012"",","ICGV Aegir - 2012,","    ""ICGV Aegir-2012"",","ICGV?Aegir?-?2012,   "
"    ""ICGV Odinn - 1961"",","ICGV 奥丁 - 1961,","    ""ICGV奥丁-1961"",","ICGV奥丁-?1961,   "
"    ""ICGV Odinn - 1990"",","ICGV 奥丁 - 1990,","    ""ICGV奥丁-1990"",","ICGV?Odinn?-?1990,   "
"    ""ICGV Thor - 2012"",","ICGV 雷神 - 2012,","    ""ICGV雷神-2012"",","ICGV?Thor?-?2012,   "
"    ""ICVG Tyr - 1975"",","ICVG Tyr - 1975,","    ""ICVG Tyr-1975"",","ICVG?Tyr?-?1975,   "
"    ""IFS 1 Carronade - 1955"",","IFS 1 Carronade - 1955,","    ""IFS 1卡罗纳德-1955"",","IFS?1?Carronade?-?1955,   "
"    ""IHS-6 (Airborne)"",","IHS-6（机载）,","    ""IHS-6（机载）"",","IHS-6(空中),   "
"    ""IIR Seeker ( GBU-69/B SGM)"",","IIR 导引头 (GBU-69/B SGM),","    ""IIR导引头（GBU-69/B SGM）"",","IIR?Seeker?(GBU-69/B?SGM),   "
"    ""IIR Seeker (130mm LOGIR)"",","IIR 导引头 (130mm LOGIR),","    ""IIR导引头（130毫米罗吉尔）"",","IIR导引头(130mm?LOGIR),   "
"    ""IIR Seeker (AAM-5)"",","IIR 导引头 (AAM-5),","    ""IIR导引头（AAM-5）"",","IIR导引头(AAM-5),   "
"    ""IIR Seeker (AASM/M)"",","IIR 搜索器 (AASM/M),","    ""IIR导引头（AASM/M）"",","IIR导引头(发布/?M),   "
"    ""IIR Seeker (AGM-130, GBU-15)"",","IIR 导引头（AGM-130，GBU-15）,","    ""IIR导引头（AGM-130，GBU-15）"",","IIR探索者(AGM-130,?GBU-15),   "
